"Mention ID","Original Mention Index","Corrected Mention Index","Original Mention Text","Corrected Mention Text"
"s09e03c09t|0","[0, 1]",(),ردیف,
"s09e03c09t|6","()","[3, 4]","","نبود"
"s09e03c09t|7","()","[6, 7]","","مامانم"
"s09e03c09t|10","()","[9, 10]","","ببینتم"
"s09e03c09t|12","()","[14, 15]","","میکرد"
"s09e03c09t|14","()","[13, 14]","","زندانیم"
"s09e03c09t|17","()","[1, 2]","","بود"
"s09e03c09t|23","()","[13, 14]","","میتونستم"
"s09e03c09t|26","[10, 11]","[10, 13]","شکاف","شکاف ‌ ها"
"s09e03c09t|27","()","[3, 4]","","دارم"
"s09e03c09t|34","()","[10, 11]","","مامانت"
"s09e03c09t|38","()","[10, 11]","","میگفت"
"s09e03c09t|42","()","[6, 7]","","کنه"
"s09e03c09t|44","()","[0, 1]","","نمیخوای"
"s09e03c09t|46","[2, 3]","[2, 4]","این","این موضوع"
"s09e03c09t|47","()","[4, 5]","","بشی"
"s09e03c09t|49","()","[4, 5]","","ست"
"s09e03c09t|50","()","[6, 9]","","پدر و مادرت"
"s09e03c09t|56","()","[4, 5]","","میخواین"
"s09e03c09t|60","()","[10, 11]","","میزنم"
"s09e03c09t|64","()","[3, 4]","","ـه"
"s09e03c09t|69","()","[8, 9]","","مامانش"
"s09e03c09t|71","()","[13, 14]","","زده"
"s09e03c09t|74","()","[2, 3]","","شد"
"s09e03c09t|75","()","[5, 6]","","کرد"
"s09e03c09t|77","()","[6, 7]","","بخزی"
"s09e03c09t|81","()","[9, 10]","","نگفتم"
"s09e03c09t|83","()","[9, 10]","","نگفتم"
"s09e03c09t|87","()","[1, 2]","","داری"
"s09e03c09t|92","()","[12, 13]","","نگفتی"
"s09e03c09t|100","()","[10, 11]","","دارم"
"s09e03c09t|103","[2, 7]","[1, 8]","همه خونی که از دست","اون همه خونی که از دست دادم"
"s09e03c09t|104","()","[11, 12]","","نمیفهمم"
"s09e03c09t|117","()","[15, 16]","","مادرت"
"s09e03c09t|121","()","[8, 9]","","نبودی"
"s09e03c09t|126","[1, 2]","[1, 4]","آتیش","آتیش ‌ پاره"
"s09e03c09t|128","()","[4, 5]","","دخترکم"
"s09e03c09t|135","()","[1, 2]","","داداشت"
"s09e03c09t|138","()","[14, 15]","","گرفت"
"s09e03c09t|141","()","[12, 13]","","مشروبش"
"s09e03c09t|143","()","[15, 16]","","میخواد"
"s09e03c09t|148","()","[5, 6]","","میکنم"
"s09e03c09t|155","[9, 13]","[8, 13]","چیزی میخواستم بهتون بگم","یه چیزی میخواستم بهتون بگم"
"s09e03c09t|157","[9, 10]","[8, 10]","چیزی","یه چیزی"
"s09e03c09t|159","()","[10, 11]","","میخواستم"
"s09e03c09t|171","()","[6, 7]","","متاسفم"
"s09e03c09t|173","()","[9, 10]","","میگفتم"
"s09e03c09t|177","()","[14, 15]","","شد"
"s09e03c09t|178","[11, 14]","[10, 14]","یدفعه ‌ ای","خیلی یدفعه ‌ ای"
"s09e03c09t|181","()","[16, 17]","","ناراحتم"
"s09e03c09t|183","()","[2, 3]","","خوشحالی"
"s09e03c09t|195","()","[5, 6]","","داشت"
"s09e03c09t|199","()","[2, 3]","","سخته"
"s09e03c09t|200","[9, 10]","[8, 10]","نفر","یه نفر"
"s09e03c09t|201","[5, 6]","[4, 6]","موضوعی","یه موضوعی"
"s09e03c09t|202","()","[13, 14]","","میدی"
"s09e03c09t|209","()","[2, 3]","","دنیایی"
"s09e03c09t|216","[4, 10]","[8, 10]","زیاد تند نرو منم یه خبرایی","یه خبرایی"
"s09e03c09t|220","[1, 2]","()","خبری",""
"s09e03c09t|224","[0, 9]","[0, 8]","دستگاه شخم ‌ زنی که برای تراکتور گرفتم رو","دستگاه شخم ‌ زنی که برای تراکتور گرفتم"
"s09e03c09t|228","()","[2, 3]","","ببینیش"
"s09e03c09t|230","()","[2, 3]","","ببینیش"
"s09e03c09t|232","()","[7, 8]","","خشگلیه"
"s09e03c09t|244","[2, 6]","[4, 7]","روی "" مون ‌","مون ‌ دنس"
"s09e03c09t|246","()","[5, 6]","","نمیرقصه"
"s09e03c09t|256","()","[1, 2]","","نکشتمش"
"s09e03c09t|262","()","[5, 6]","","نگفتین"
"s09e03c09t|268","[0, 1]","()","بچه",""
"s09e03c09t|269","[4, 5]","()","بابایش",""
"s09e03c09t|271","()","[13, 14]","","دوستت"
"s09e03c09t|273","[15, 16]","[15, 18]","آتیش","آتیش ‌ پاره"
"s09e03c10t|4","()","[6, 7]","","میشه"
"s09e03c10t|7","[0, 1]","[6, 7]","دار","میده"
"s09e03c10t|9","[3, 5]","[4, 5]","‌ ش","ش"
"s09e03c10t|13","[1, 8]","[1, 9]","یه راه عاقلانه ‌ تر برای باز","یه راه عاقلانه ‌ تر برای باز کردنش"
"s09e03c10t|14","()","[8, 9]","","کردنش"
"s09e03c10t|15","()","[7, 8]","","نیست"
"s09e03c10t|21","[3, 21]","[3, 13]","اهیرمی با طول کافی "" و یه تکیه ‌ گاه به من بدهید "" "" تا با اونا","اهیرمی با طول کافی "" و یه تکیه ‌ گاه"
"s09e03c10t|24","[3, 21]","[3, 13]","اهیرمی با طول کافی "" و یه تکیه ‌ گاه به من بدهید "" "" تا با اونا","اهیرمی با طول کافی "" و یه تکیه ‌ گاه"
"s09e03c10t|25","[9, 21]","[9, 13]","یه تکیه ‌ گاه به من بدهید "" "" تا با اونا","یه تکیه ‌ گاه"
"s09e03c10t|27","[9, 11]","[9, 13]","یه تکیه","یه تکیه ‌ گاه"
"s09e03c10t|28","[20, 21]","()","اونا",""
"s09e03c10t|43","()","[0, 1]","","مطمئنم"
"s09e03c10t|45","()","[4, 5]","","هست"
"s09e03c10t|52","()","[2, 3]","","ببینم"
"s09e03c10t|64","[11, 12]","[3, 4]","کنیم","بیاین"
"s09e03c10t|72","()","[15, 16]","","بگیریم"
"s09e03c10t|77","()","[20, 21]","","بگیم"
"s09e03c10t|89","[28, 30]","[29, 30]","که درستش","درستش"
"s09e03c10t|92","()","[34, 35]","","میتونیم"
"s09e03c10t|102","[30, 41]","[35, 44]","اهیرم ‌ ـه زودتر میتونیم آستین ‌ هامون رو نه آستن","آستین ‌ هامون رو نه آستن ‌ ها رو"
"s09e03c11t|10","[2, 4]","[3, 4]","اینکه تماس","تماس"
"s09e03c11t|11","()","[5, 6]","","خوکم"
"s09e03c11t|15","()","[25, 26]","","شده"
"s09e03c11t|21","()","[29, 30]","","مادربزرگم"
"s09e03c11t|23","()","[1, 2]","","نخوردنش"
"s09e03c11t|24","()","[1, 2]","","نخوردنش"
"s09e03c11t|31","[0, 8]","[0, 9]","از اون خانواده ‌ هایی که صبحونه گوشت","از اون خانواده ‌ هایی که صبحونه گوشت میخورن"
"s09e03c11t|32","()","[4, 5]","","نیست"
"s09e03c11t|35","()","[10, 11]","","مادرت"
"s09e03c11t|39","()","[4, 5]","","خوکت"
"s09e03c11t|46","()","[0, 1]","","دیدی"
"s09e03c11t|54","[8, 9]","()","چقدر",""
"s09e03c11t|57","()","[10, 11]","","میخواستم"
"s09e03c11t|63","()","[4, 5]","","بدش"
"s09e03c11t|67","()","[17, 18]","","کرده"
"s09e03c11t|72","()","[23, 24]","","کرد"
"s09e03c11t|78","()","[30, 31]","","میخواد"
"s09e03c12t|0","()","[1, 2]","","نکنم"
"s09e03c12t|4","()","[3, 4]","","میزنی"
"s09e03c12t|17","[1, 2]","()","الان",""
"s09e03c12t|20","()","[9, 10]","","میتونستیم"
"s09e03c12t|25","[12, 13]","[11, 13]","لیزری","تفنگ لیزری"
"s09e03c12t|26","()","[13, 14]","","نابودش"
"s09e03c12t|31","[15, 16]","()","میکردیم",""
"s09e03c12t|33","[9, 20]","[9, 20]","چیزی با دقت بالاتر باید پیدا میکردیم مثل اشعه چشم سوپرمن","چیزی با دقت بالاتر باید پیدا میکردیم مثل اشعه چشم سوپرمن"
"s09e03c12t|34","[18, 20]","[17, 20]","چشم سوپرمن","اشعه چشم سوپرمن"
"s09e03c12t|36","[4, 14]","[4, 15]","یه دست بزرگ درست کنه که بشه پیچ رو باز","یه دست بزرگ درست کنه که بشه پیچ رو باز کرد"
"s09e03c12t|78","[6, 7]","[2, 3]","بگیریم","میتونیم"
"s09e03c12t|85","()","[11, 12]","","هستش"
"s09e03c12t|122","()","[31, 32]","","شده"
"s09e03c12t|126","()","[29, 30]","","صورتت"
"s09e03c12t|130","[34, 35]","[34, 38]","تویی","تویی که باعث ننگی"
"s09e03c12t|138","()","[58, 59]","","میشه"
"s09e03c12t|140","[37, 58]","[56, 58]","ننگی ♪ ♪ قوطى حلبی خودت را با لگد همه جا میزنی ♪ من حافظه تصویری دارم بعضی وقتا اعصاب خردکن","اعصاب خردکن"
"s09e03c12t|144","()","[0, 1]","","نمیدونستم"
"s09e03c12t|152","[3, 11]","[3, 12]","هیدروکربن خالص ساخته میشن که توی روغن خیس","هیدروکربن خالص ساخته میشن که توی روغن خیس خورده"
"s09e03c12t|160","[15, 16]","[14, 16]","پیچ","سوراخ پیچ"
"s09e03c12t|164","[4, 5]","[4, 7]","حیوون","حیوون ‌ ها"
"s09e03c12t|165","()","[7, 8]","","داریم"
"s09e03c12t|174","[0, 1]","()","واقعا",""
"s09e03c12t|181","()","[2, 3]","","نبود"
"s09e03c12t|182","()","[1, 2]","","مجردیه"
"s09e03c12t|190","[3, 4]","[8, 9]","که","ـه"
"s09e03c12t|194","()","[9, 10]","","امیدوارم"
"s09e03c12t|205","[8, 11]","[7, 16]","دانشگاه "" ام","مدرک دانشگاه "" ام ‌ آی ‌ تی """
"s09e03c12t|207","()","[11, 12]","","دیدم"
"s09e03c12t|213","[4, 16]","[4, 17]","این زنگ ‌ زدگی که با آلومینیومی که از ماشین گرفتم ترکیب","این زنگ ‌ زدگی که با آلومینیومی که از ماشین گرفتم ترکیب شده"
"s09e03c12t|218","[1, 3]","[0, 3]","چند ذره","یه چند ذره"
"s09e03c12t|220","[0, 1]","[6, 7]","اونقدری","کنه"
"s09e03c12t|224","()","[3, 4]","","نریزیم"
"s09e03c12t|229","[8, 9]","[5, 6]","کنیم","میتونیم"
"s09e03c12t|237","[3, 4]","()","مرده",""
"s09e03c12t|238","[5, 6]","[5, 7]","مهره","مهره خان"
"s09e03c12t|243","()","[9, 10]","","شریکت"
"s09e04c00t|4","()","[2, 3]","","خوشحالیم"
"s09e04c00t|13","()","[7, 8]","","اینه"
"s09e04c00t|16","[14, 26]","[13, 27]","پس از مرگ و توهم توسط القای نورونی که اشتباها بهشت تصور","زندگی پس از مرگ و توهم توسط القای نورونی که اشتباها بهشت تصور میشه"
"s09e04c00t|18","()","[1, 2]","","نمیفهمم"
"s09e04c00t|20","()","[9, 10]","","خریدی"
"s09e04c00t|22","[3, 8]","[3, 9]","اون جعبه ‌ ی قرص","اون جعبه ‌ ی قرص رو"
"s09e04c00t|23","[5, 6]","[4, 7]","‌","جعبه ‌ ی"
"s09e04c00t|38","()","[21, 22]","","میبری"
"s09e04c00t|43","[0, 1]","()","میبرمش",""
"s09e04c00t|45","()","[5, 6]","","دارم"
"s09e04c00t|49","()","[6, 7]","","میدونی"
"s09e04c00t|61","()","[5, 6]","","میدونی"
"s09e04c00t|68","()","[21, 22]","","میاد"
"s09e04c00t|69","[19, 20]","[18, 20]","جور","عقل جور"
"s09e04c00t|78","[6, 18]","[6, 19]","یه نقشه که من رو قبل از دادن خبرهای بد ، نرم","یه نقشه که من رو قبل از دادن خبرهای بد ، نرم کنید"
"s09e04c00t|94","[2, 6]","[2, 7]","بستنی من رو مزه","بستنی من رو مزه مزه"
"s09e04c00t|98","()","[13, 14]","","داشتی"
"s09e04c00t|111","()","[0, 1]","","میدونی"
"s09e04c00t|114","[3, 4]","[3, 5]","چه","چه چیزی"
"s09e04c00t|115","()","[5, 6]","","نمیفروشن"
"s09e04c00t|118","[8, 14]","[7, 15]","چیزی که ناامیدی من توش جا","یه چیزی که ناامیدی من توش جا بشه"
"s09e04c00t|119","[8, 9]","[7, 9]","چیزی","یه چیزی"
"s09e04c01t|14","[17, 18]","()","کسی",""
"s09e04c01t|17","()","[4, 5]","","بگیرم"
"s09e04c01t|19","()","[2, 4]","","مادرم تماس"
"s09e04c01t|27","()","[17, 18]","","مامان"
"s09e04c01t|28","()","[17, 19]","","مامان بزرگم"
"s09e04c01t|34","()","[30, 32]","","جوابهاش تکراری"
"s09e04c01t|38","[3, 5]","[3, 7]","انتخاب هفتم","انتخاب هفتم ‌ ـتم"
"s09e04c01t|40","()","[6, 7]","","ـتم"
"s09e04c01t|42","()","[2, 3]","","میدونم"
"s09e04c01t|44","[5, 11]","[4, 11]","ده تای اول هستی خیلی باحاله","توی ده تای اول هستی خیلی باحاله"
"s09e04c01t|58","()","[19, 21]","","سخته که"
"s09e04c01t|59","()","[10, 11]","","نمیکنی"
"s09e04c01t|64","()","[22, 23]","","داشتی"
"s09e04c01t|66","[17, 19]","[15, 19]","اتاقیهای دیگه","هم ‌ اتاقیهای دیگه"
"s09e04c01t|71","[25, 32]","[25, 33]","فرصتیه که یه نفر دیگه رو پیدا","فرصتیه که یه نفر دیگه رو پیدا کنی"
"s09e04c01t|73","[28, 29]","[27, 30]","نفر","یه نفر دیگه"
"s09e04c01t|74","[28, 30]","[27, 30]","نفر دیگه","یه نفر دیگه"
"s09e04c01t|81","[8, 14]","[8, 15]","کسی که باهاش بزنم توی پوز","کسی که باهاش بزنم توی پوز لئونارد"
"s09e04c01t|84","()","[11, 12]","","بزنم"
"s09e04c01t|89","[16, 17]","[15, 17]","پرت","کریس پرت"
"s09e04c01t|90","[18, 21]","[18, 23]","خیلی روی بورسه","خیلی روی بورسه دوست دارم"
"s09e04c01t|92","[22, 23]","[23, 24]","دارم","بدونم"
"s09e04c01t|97","()","[0, 1]","","میدونی"
"s09e04c01t|100","[5, 7]","[3, 9]","اتاقی عالی","هم ‌ اتاقی عالی ‌ ای"
"s09e04c01t|103","()","[3, 4]","","سیگاریه"
"s09e04c01t|109","()","[0, 1]","","اون"
"s09e04c01t|114","()","[8, 9]","","مطمئنم"
"s09e04c01t|120","[13, 14]","[12, 15]","دست","از دست ما"
"s09e04c01t|129","()","[1, 2]","","نمیکنم"
"s09e04c02t|2","[0, 3]","[0, 4]","این کمیک آرچی","این کمیک آرچی رو"
"s09e04c02t|3","()","[16, 17]","","ـه"
"s09e04c02t|12","[2, 3]","[1, 5]","جاگ",""" جاگ هد """
"s09e04c02t|13","[4, 6]","[5, 6]",""" ترمیناتورـه","ترمیناتورـه"
"s09e04c02t|24","()","[0, 1]","","گفتم"
"s09e04c02t|26","()","[3, 4]","","باشه"
"s09e04c02t|30","()","[13, 14]","","میدونی"
"s09e04c02t|35","[17, 22]","[17, 24]","یه حال و هوای کسب","یه حال و هوای کسب و کار"
"s09e04c02t|36","[17, 22]","[17, 24]","یه حال و هوای کسب","یه حال و هوای کسب و کار"
"s09e04c02t|53","()","[9, 10]","","باشه"
"s09e04c02t|63","()","[4, 5]","","شده"
"s09e04c02t|65","[1, 2]","[0, 2]","ساله","چند ساله"
"s09e04c02t|66","()","[10, 11]","","ـه"
"s09e04c02t|75","()","[6, 7]","","میاد"
"s09e04c02t|79","[4, 12]","[4, 13]","چیزی بنظر میاد که فکر نمیکنم براش پول","چیزی بنظر میاد که فکر نمیکنم براش پول بدم"
"s09e04c02t|81","()","[9, 10]","","نمیکنم"
"s09e04c02t|83","()","[8, 9]","","بکنیم"
"s09e04c02t|86","[5, 6]","[5, 8]","این","این کار رو"
"s09e04c02t|87","()","[16, 17]","","داریم"
"s09e04c02t|91","()","[0, 1]","","میدونی"
